dt_captura;recurso;arquivo;url;http_last_modified;etag;sha256;bytes;caminho;situacao;motivo
2026-09-24T12:16:30Z;dfp;dfp_cia_aberta_2022.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2022.zip;Sun, 20 Sep 2026 10:33:49 GMT;"""6aafb68d-cd36bd""";ac08f4150eb413e4f9a55969e3162dd543a6a18b0d54c4348fdcaa1864f57d7b;13448893;data/bronze/cvm/dfp/dfp_cia_aberta_2022.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:32Z;dfp;dfp_cia_aberta_2023.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2023.zip;Sun, 20 Sep 2026 10:28:43 GMT;"""6aafb55b-cef53e""";519a0317ae339336fdeabbb9503d31ca5cea566415c8ede1f92a5ba29cecec53;13563198;data/bronze/cvm/dfp/dfp_cia_aberta_2023.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:34Z;dfp;dfp_cia_aberta_2024.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2024.zip;Sun, 20 Sep 2026 10:23:47 GMT;"""6aafb433-cc698f""";60c39dc5f4da831c6dd3592236314d12a04ea9c0d883cf168af6fd817730a949;13396367;data/bronze/cvm/dfp/dfp_cia_aberta_2024.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:35Z;dfp;dfp_cia_aberta_2025.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2025.zip;Sun, 20 Sep 2026 10:18:59 GMT;"""6aafb313-c299a0""";875d26dd69d17251aa19e272dd9c93dcd23d95fea73e0a14b0e6df9b85dc0c92;12753312;data/bronze/cvm/dfp/dfp_cia_aberta_2025.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:37Z;dfp;dfp_cia_aberta_2026.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2026.zip;Sun, 20 Sep 2026 10:14:22 GMT;"""6aafb1fe-3523a""";b277f218b4d5df1046db3a2b1eb5981f0faf627eb4602ff7182232035af486be;217658;data/bronze/cvm/dfp/dfp_cia_aberta_2026.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:42Z;itr;itr_cia_aberta_2022.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/ITR/DADOS/itr_cia_aberta_2022.zip;Sun, 20 Sep 2026 11:41:27 GMT;"""6aafc667-1ed3ca8""";840f1d539a2581e9ef7c1624cfdbb5294745cfe6379d6410e04a4035163022a9;32324776;data/bronze/cvm/itr/itr_cia_aberta_2022.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:45Z;itr;itr_cia_aberta_2023.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/ITR/DADOS/itr_cia_aberta_2023.zip;Sun, 20 Sep 2026 11:26:25 GMT;"""6aafc2e1-1eda234""";8e86d000cdf95b1e2dc3fbafe4e9c31d9ac4a9242327be384cfe362ff3ba1c15;32350772;data/bronze/cvm/itr/itr_cia_aberta_2023.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:49Z;itr;itr_cia_aberta_2024.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/ITR/DADOS/itr_cia_aberta_2024.zip;Sun, 20 Sep 2026 11:11:59 GMT;"""6aafbf7f-1f353e4""";b9e8dccc9a4435cd0e713186a6b4fd8ccb884245979de5e82c5d82bb71fbe065;32723940;data/bronze/cvm/itr/itr_cia_aberta_2024.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:54Z;itr;itr_cia_aberta_2025.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/ITR/DADOS/itr_cia_aberta_2025.zip;Sun, 20 Sep 2026 10:56:49 GMT;"""6aafbbf1-1e318bb""";4a996a7422d155f3d3eeaf832655a99ecb9d4e81a0ec7bfb5db45d98e34f1e40;31660219;data/bronze/cvm/itr/itr_cia_aberta_2025.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:58Z;itr;itr_cia_aberta_2026.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/ITR/DADOS/itr_cia_aberta_2026.zip;Sun, 20 Sep 2026 10:42:40 GMT;"""6aafb8a0-12b09d0""";4f89a9987303984a78ebae31b09ca2be8f7ba2445078120cb9a8d6f84934b253;19597776;data/bronze/cvm/itr/itr_cia_aberta_2026.zip;atualizado;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:17:07Z;cad;cad_cia_aberta.csv;https://dados.cvm.gov.br/dados/CIA_ABERTA/CAD/DADOS/cad_cia_aberta.csv;Thu, 24 Sep 2026 04:12:17 GMT;"""6ab4a321-16cb28""";830b4d910cb482854f8c0e235ba19b208ca1310d11d9c350f20b2aff9ddfe30f;1493800;data/bronze/cvm/cad/cad_cia_aberta.csv;novo;migrado de data/bronze/cvm/_manifest/capturas.csv (tools/baixar_cvm.py, 24/09)
2026-09-24T12:16:30Z;dfp;dfp_cia_aberta_2022.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2022.zip;;;0938723d8459507c8d31ce84cdc958b175ea019249d437145975f2bd22543932;13448919;data/bronze/cvm/dfp/_snapshots/dfp_cia_aberta_2022__v20260913__0938723d8459.zip;deslocado;"migracao 24/09: reconstruido do nome antigo do snapshot (o script de origem so registrava no log); Last-Modified da versao deslocada nao registrado"
2026-09-24T12:16:32Z;dfp;dfp_cia_aberta_2023.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2023.zip;;;00a5f1e689691e677c803a4cc5edad16f27042e43de3d9afd2023edf43c89e7a;13563164;data/bronze/cvm/dfp/_snapshots/dfp_cia_aberta_2023__v20260913__00a5f1e68969.zip;deslocado;"migracao 24/09: reconstruido do nome antigo do snapshot (o script de origem so registrava no log); Last-Modified da versao deslocada nao registrado"
2026-09-24T12:16:34Z;dfp;dfp_cia_aberta_2024.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2024.zip;;;3131dd308f06ae4f182cb38abc06330238251729b1b62b42b32779a4edeb06ab;13396363;data/bronze/cvm/dfp/_snapshots/dfp_cia_aberta_2024__v20260830__3131dd308f06.zip;deslocado;"migracao 24/09: reconstruido do nome antigo do snapshot (o script de origem so registrava no log); Last-Modified da versao deslocada nao registrado"
2026-09-24T12:16:35Z;dfp;dfp_cia_aberta_2025.zip;https://dados.cvm.gov.br/dados/CIA_ABERTA/DOC/DFP/DADOS/dfp_cia_aberta_2025.zip;;;37b26bb7ee8354f3f25abb66ae00a75bc98115cce5c5dcf6decce0990b1e520e;12753312;data/bronze/cvm/dfp/_snapshots/dfp_cia_aberta_2025__v20260914__37b26bb7ee83.zip;deslocado;"migracao 24/09: reconstruido do nome antigo do snapshot (o script de origem so registrava no log); Last-Modified da versao deslocada nao registrado"
